regime,outcome,horizon,beta,se,lower95,upper95,n,spec_name,shock_column,shock_scale,response_type
reserve_drain_high,interbank_transactions_foreign_banks_asset_qoq,3,15.794701089932875,6.258744467784826,3.527561933074617,28.061840246791135,44,regimes,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
reserve_drain_high,interbank_transactions_foreign_banks_asset_qoq,4,26.42325007010391,7.318704169221508,12.078589898429756,40.76791024177807,44,regimes,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
reserve_drain_high,interbank_transactions_foreign_banks_asset_qoq,5,28.18912059093725,8.429131905172582,11.66802205679899,44.71021912507551,43,regimes,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
reserve_drain_high,interbank_transactions_foreign_banks_asset_qoq,6,25.358424918876693,7.123655979850715,11.396059198369294,39.32079063938409,42,regimes,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
reserve_drain_high,interbank_transactions_foreign_banks_asset_qoq,7,26.180964092533664,8.092744721525023,10.31918443834462,42.04274374672271,42,regimes,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
reserve_drain_high,interbank_transactions_foreign_banks_asset_qoq,8,28.455322035738998,7.48862499200097,13.777617051417097,43.1330270200609,42,regimes,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
reserve_drain_high,deposits_at_foreign_banks_asset_qoq,0,-0.5096368025104899,0.21064265015192266,-0.9224963968082583,-0.09677720821272151,46,regimes,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
reserve_drain_high,deposits_at_foreign_banks_asset_qoq,1,-0.011032482765664653,0.34514576310117706,-0.6875181784439717,0.6654532129126425,45,regimes,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
reserve_drain_high,deposits_at_foreign_banks_asset_qoq,2,0.3469114465102706,0.2831183039746611,-0.20800042928006512,0.9018233223006064,44,regimes,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
reserve_drain_high,deposits_at_foreign_banks_asset_qoq,3,0.21604259909813744,0.34275007543170166,-0.4557475487479978,0.8878327469442726,44,regimes,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
reserve_drain_high,deposits_at_foreign_banks_asset_qoq,4,0.4845510914699716,0.22193530311183304,0.04955789737077887,0.9195442855691643,44,regimes,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
reserve_drain_high,deposits_at_foreign_banks_asset_qoq,5,0.3414193339456791,0.29320017379152885,-0.2332530066857174,0.9160916745770755,43,regimes,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
reserve_drain_high,deposits_at_foreign_banks_asset_qoq,6,0.21738985680856482,0.37501106852061444,-0.5176318374918395,0.9524115511089691,42,regimes,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
reserve_drain_high,deposits_at_foreign_banks_asset_qoq,7,0.4285606416925816,0.43432041934295856,-0.4227073802196171,1.2798286636047804,42,regimes,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
reserve_drain_high,deposits_at_foreign_banks_asset_qoq,8,0.20924274518085695,0.5224339973796088,-0.8147278896831764,1.2332133800448903,42,regimes,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
reserve_drain_high,other_component_qoq,0,-95.44545378510148,9.59830935846635,-114.25814012769553,-76.63276744250743,46,regimes,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
reserve_drain_high,other_component_qoq,1,-73.45844195168024,35.30272399512612,-142.65178098212743,-4.265102921233051,45,regimes,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
reserve_drain_high,other_component_qoq,2,-88.89306897647617,60.434559154628175,-207.3448049195474,29.558666966595055,44,regimes,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
reserve_drain_high,other_component_qoq,3,-107.42611350158197,52.63761209533394,-210.5958332084365,-4.256393794727444,44,regimes,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
reserve_drain_high,other_component_qoq,4,-121.50960413640902,51.687993268453155,-222.8180709425772,-20.20113733024084,44,regimes,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
reserve_drain_high,other_component_qoq,5,-97.08916027159117,47.92732206628947,-191.02671152151854,-3.151609021663802,43,regimes,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
reserve_drain_high,other_component_qoq,6,-132.49078247727016,51.6752253761601,-233.77422421454395,-31.20734073999637,42,regimes,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
reserve_drain_high,other_component_qoq,7,-107.39460231794214,71.25438158752844,-247.0531902294979,32.2639855936136,42,regimes,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
reserve_drain_high,other_component_qoq,8,-106.47585421739404,90.03531691865828,-282.94507537796426,69.9933669431762,42,regimes,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
reserve_drain_high,accounting_deposit_substitution_qoq,0,-1.8575681613794823,4.808318313112852,-11.281872055080672,7.566735732321707,46,regimes,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
reserve_drain_high,accounting_deposit_substitution_qoq,1,-4.146175558180509,9.557773665492105,-22.879411942545033,14.587060826184015,45,regimes,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
reserve_drain_high,accounting_deposit_substitution_qoq,2,-8.327523838053386,7.6788676074505515,-23.378104348656464,6.723056672549694,44,regimes,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
reserve_drain_high,accounting_deposit_substitution_qoq,3,-5.236542679448936,5.4031124767409455,-15.82664313386119,5.353557774963317,44,regimes,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
reserve_drain_high,accounting_deposit_substitution_qoq,4,-2.748805769240898,5.445318537621811,-13.421630102979648,7.924018564497853,44,regimes,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
reserve_drain_high,accounting_deposit_substitution_qoq,5,-1.2418325631975744,6.200381343341235,-13.394579996146394,10.910914869751245,43,regimes,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
reserve_drain_high,accounting_deposit_substitution_qoq,6,-4.749430983419181,7.15285615673818,-18.769029050626013,9.270167083787651,42,regimes,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
reserve_drain_high,accounting_deposit_substitution_qoq,7,-6.997600186516067,8.457923115726123,-23.57512949333927,9.579929120307135,42,regimes,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
reserve_drain_high,accounting_deposit_substitution_qoq,8,-11.718772671209765,11.725613000032311,-34.700974151273094,11.263428808853563,42,regimes,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
reserve_drain_high,accounting_bank_balance_sheet_qoq,0,-28.538853482070824,11.683881435604684,-51.439261095856004,-5.638445868285643,46,regimes,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
reserve_drain_high,accounting_bank_balance_sheet_qoq,1,-13.033984536787747,20.042823807975253,-52.31791920041925,26.24995012684375,45,regimes,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
reserve_drain_high,accounting_bank_balance_sheet_qoq,2,-17.671702646609376,25.91376984034352,-68.46269153368267,33.11928624046392,44,regimes,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
reserve_drain_high,accounting_bank_balance_sheet_qoq,3,-9.484535266079703,25.17560710843842,-58.828725198619004,39.8596546664596,44,regimes,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
